Name,Lifetime (yr),RE (W m-2 ppb-1),GWP 20-yr,GWP 100-yr,GWP 500-yr,GTP 20-yr,GTP 50-yr,GTP 100-yr
Difluoro(methoxy)methane,1.1,0.174,528,144,41,173,25,20
Fluoro(fluoromethoxy)methane,0.9,0.193,479,130,37,153,22,18
Difluoro(fluoromethoxy)methane,3.3,0.304,2265,617,176,1006,115,86
Trifluoro(fluoromethoxy)methane,4.4,0.328,2733,751,214,1401,150,105
"1,1,2,2-Tetrafluoro-1,2-dimethoxyethane",2,0.292,815,222,63,301,39,31
"1,1,2,2-Tetrafluoro-1-methoxy-2-(1,1,2,2-tetrafluoro-2-methoxyethoxy)ethane",2,0.564,868,236,67,320,42,33
"3,3,4,4,6,6,7,7,9,9,10,10-Dodecafluoro-2,5,8,11-tetraoxadodecane",2,0.765,812,221,63,299,39,31
Difluorodimethoxymethane,,0.257,,,,,,
"1,1,1,2,3,3-Hexafluoro-3-(trifluoromethoxy)propane",40,0.476,7170,4550,1413,7089,4692,2039
"1-(Difluoromethoxy)-1,1,2,3,3,3-hexafluoropropane",,0.515,,,,,,
"3,3,4,4,5,5,6,6,7,7,7-Undecafluoroheptan-1-ol",0.0548,0.061,2,0,0,0,0,0
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Pentadecafluorononan-1-ol",0.0548,0.068,1,0,0,0,0,0
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Nonadecafluoroundecan-1-ol",0.0548,0.051,1,0,0,0,0,0
"2-Chloro-1,1,2-trifluoro-1-methoxyethane",1.4,0.211,449,122,35,153,21,17
"1-(Difluoro(trifluoromethoxy)methoxy)-1,1,2,3,3,3-hexafluoro-2-(trifluoromethoxy)propane",800,0.648,7498,9706,10945,8073,9907,11254
"1,1,2-Trifluoro-2-(trifluoromethoxy)ethene",0.023,0.025,1,0,0,0,0,0
Trifluoromethyl formate,3.5,0.311,2154,588,168,984,111,82
Perfluoroethyl formate,3.5,0.442,2125,580,165,971,110,81
Perfluoropropyl formate,2.6,0.503,1382,376,107,555,68,52
Perfluorobutyl formate,3,0.561,1439,392,112,613,72,54
"2,2,2-Trifluoroethyl formate",0.44,0.158,123,33,10,37,6,5
"3,3,3-Trifluoropropyl formate",0.3,0.134,64,17,5,19,3,2
"1,2,2,2-Tetrafluoroethyl formate",3.2,0.349,1724,470,134,755,87,65
"1,1,1,3,3,3-Hexafluoropropan-2-yl formate",3.2,0.333,1221,333,95,535,62,46
Perfluorobutyl acetate,0.06,0.125,6,2,0,2,0,0
Perfluoropropyl acetate,0.06,0.107,6,2,0,2,0,0
Perfluoroethyl acetate,0.06,0.099,8,2,1,2,0,0
Trifluoromethyl acetate,0.06,0.072,8,2,1,2,0,0
Methyl carbonofluoridate,1.8,0.067,350,95,27,126,17,13
Fluoromethyl carbonofluoridate,,0.195,,,,,,
Difluoromethyl carbonofluoridate,,0.332,,,,,,
Trifluoromethyl carbonofluoridate,,0.323,,,,,,
Perfluoroethyl carbonofluoridate,,0.481,,,,,,
"2,2,2-Trifluoroethyl carbonofluoridate",,0.331,,,,,,
"1,1-Difluoroethyl carbonofluoridate",0.33,0.169,99,27,8,30,5,4
Perfluoropropyl carbonofluoridate,,0.530,,,,,,
"Trifluoromethyl 2,2,2-trifluoroacetate",,0.490,,,,,,
"Perfluoroethyl 2,2,2-trifluoroacetate",,0.623,,,,,,
"1,1-Difluoroethyl 2,2,2-trifluoroacetate",0.33,0.270,113,31,9,34,5,4
"1,1,1,3,3,3-Hexafluoropropan-2-yl 2,2,2-trifluoroacetate",,0.494,,,,,,
"Vinyl 2,2,2-trifluoroacetate",,0.387,,,,,,
"Ethyl 2,2,2-trifluoroacetate",0.06,0.053,5,1,0,1,0,0
"2,2,2-Trifluoroethyl 2,2,2-trifluoroacetate",0.15,0.145,25,7,2,7,1,1
"Allyl 2,2,2-trifluoroacetate",,0.354,,,,,,
"Methyl 2,2,2-trifluoroacetate",0.61,0.179,192,52,15,60,9,7
"Phenyl 2,2,2-trifluoroacetate",,0.386,,,,,,
Methyl 2-fluoroacetate,,0.084,,,,,,
"Difluoromethyl 2,2-difluoroacetate",,0.438,,,,,,
"Methyl 2,2-difluoroacetate",0.11,0.053,12,3,1,4,1,0
"Difluoromethyl 2,2,2-trifluoroacetate",0.3,0.241,99,27,8,30,5,4
"2,2,3,3,4,4,4-Heptafluorobutan-1-ol",0.55,0.200,124,34,10,38,6,5
"1,1,2-Trifluoro-2-(trifluoromethoxy)-ethane",9.834,0.345,3972,1243,354,2961,467,178
"1-Ethoxy-1,1,2,3,3,3-hexafluoropropane",0.389,0.191,86,23,7,26,4,3
"1,1,1,2,2,3,3-Heptafluoro-3-(1,2,2,2-tetrafluoroethoxy)-propane",67,0.581,7939,6487,2384,8141,6959,4379
"2,2,3,3-Tetrafluoro-1-propanol",0.25,0.112,48,13,4,14,2,2
"2,2,3,4,4,4-Hexafluoro-1-butanol",0.26,0.194,63,17,5,19,3,2
"2,2,3,3,4,4,4-Heptafluoro-1-butanol",0.33,0.161,60,16,5,18,3,2
"1,1,2,2-Tetrafluoro-3-methoxy-propane",0.039,0.032,2,1,0,1,0,0
"1,1,1,2,2,4,5,5,5-Nonafluoro-4-(trifluoromethyl)-3-pentanone",0.0192,0.028,0,0,0,0,0,0
"3,3,3-Trifluoro-propanal",0.0055,0.004,0,0,0,0,0,0
"4,4,4-Trifluorobutanal",,0.163,,,,,,
2-Fluoroethanol,0.0558,0.016,3,1,0,1,0,0
"2,2-Difluoroethanol",0.1096,0.037,11,3,1,3,1,0
"2,2,2-Trifluoroethanol",0.3205,0.101,73,20,6,22,3,3
"1,1'-Oxybis[2-(difluoromethoxy)-1,1,2,2-tetrafluoroethane",26,1.150,9910,4916,1432,9323,4462,1363
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12-hexadecafluoro-2,5,8,11-Tetraoxadodecane",26,1.429,9053,4491,1308,8517,4077,1245
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12,13,13,15,15-eicosafluoro-2,5,8,11,14-Pentaoxapentadecane",26,1.461,7318,3630,1058,6885,3295,1007
